SR NO.,11 Comae Berenices b,305.0,6165.32,4.74,2007,Gas Giant,12.096,1.29 AU,326 days,0.23,11 Com,Radial Velocity,,,12h20m43.03s,+17d47m34.3s,4742.0,2.7,19.0,Gravitation_value
1026,K2-102 b,617.0,711.8720000000001,13.2,2016,Super Earth,14.559999999999999,Unknown,9.9 days,0.1,K2-101,Transit,89.4,,08h41m22.58s,+18d56m01.9s,4819.0,0.8,0.73,32.97387235871633
1027,K2-104 b,620.0,1430.1000000000001,15.395,2016,Super Earth,21.951999999999998,0.023 AU,2 days,0.09,K2-102,Transit,89.0,,08h40m13.45s,+19d46m43.7s,4695.0,0.77,0.71,29.141305902121044
1033,K2-111 b,657.0,2733.08,11.137,2017,Super Earth,21.279999999999998,0.0621 AU,5.4 days,0.0,K2-110,Transit,,,13h49m23.89s,-12d17m04.2s,4950.0,0.75,0.71,59.265218250591495
1037,K2-116 b,161.0,81.6746,10.91,2017,Terrestrial,7.727999999999999,0.048 AU,4.7 days,0.06,K2-115,Transit,,,08h26m12.83s,+12d16m55.0s,5657.0,0.95,0.88,13.42899711716594
1038,K2-117 b,333.0,1519.084,14.655,2017,Super Earth,22.735999999999997,0.0189 AU,1.3 days,0.06,K2-116,Transit,89.09,,22h24m36.39s,-11d34m43.3s,4348.35,0.69,0.67,28.856553493015376
1039,K2-117 c,333.0,1557.2200000000003,14.655,2017,Super Earth,23.072,0.0492 AU,5.4 days,0.15,K2-117,Transit,,,08h55m25.36s,+10d28m08.9s,3778.0,0.54,0.51,28.725677343795212
1043,K2-120 b,944.0,1493.66,14.045,2017,Super Earth,22.511999999999997,0.078 AU,9.6 days,0.14,K2-12,Transit,,,11h32m46.09s,+02d14m41.6s,5800.0,1.01,1.01,28.941056549307895
1045,K2-122 b,235.0,610.176,13.15,2017,Super Earth,13.552,0.0285 AU,2.2 days,0.21,K2-121,Transit,,,08h27m44.81s,+17d34m45.8s,4551.0,0.72,0.68,32.6241441077779
1049,K2-126 b,337.0,1442.8120000000001,12.918,2017,Super Earth,22.064,0.0656 AU,7.4 days,0.06,K2-125,Transit,89.72,,13h36m34.11s,-14d56m51.4s,3654.47,0.49,0.4,29.102616690933115
1051,K2-128 b,375.0,826.2800000000001,12.627,2017,Super Earth,15.903999999999998,0.056 AU,5.7 days,0.23,K2-127,Transit,,,13h48m18.81s,-11d35m20.3s,4575.0,0.72,0.66,32.077853375579075
1052,K2-129 b,91.0,355.93600000000004,13.63,2017,Super Earth,11.648,0.057 AU,8.2 days,0.13,K2-128,Transit,87.4,,13h37m45.04s,-08d35m49.4s,4469.51,0.71,0.78,25.760837780247122
1054,K2-130 b,386.0,667.38,12.759,2017,Super Earth,14.0,0.032 AU,2.5 days,0.17,K2-13,Transit,,,11h20m37.33s,+02d30m09.7s,5698.0,0.8,0.78,33.43550657173834
1055,K2-131 b,501.0,2002.14,12.115,2017,Super Earth,19.04,0.0095 AU,0.4 days,0.0,K2-130,Transit,86.53,,19h21m04.86s,-19d41m26.9s,4356.47,0.7,0.74,54.231466109004664
